author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex;author_type;price_per_m2
Елена Сергеева;https://www.cian.ru/sale/flat/278603571/;Москва;sale;flat;1;12;5;100.3;23500000;Кунцево;Ивана Франко;Рабочий поселок;;realtor;234297.0
Ла Терра;https://www.cian.ru/sale/flat/284760672/;Москва;sale;flat;5;10;5;114.3;23500000;;;Прокшино;;real_estate_agent;205599.0
EstateLiga;https://www.cian.ru/sale/flat/283555537/;Москва;sale;flat;4;14;5;112.5;24000000;Южное Бутово;Веневская;Улица Скобелевская;;real_estate_agent;213333.0
Римарком Владис;https://www.cian.ru/sale/flat/283247837/;Москва;sale;flat;5;6;5;191.6;25000000;;;Филатов Луг;;real_estate_agent;130480.0
Владис;https://www.cian.ru/sale/flat/283198907/;Москва;sale;flat;6;14;5;117.5;24990000;Печатники;Шоссейная;Депо;;real_estate_agent;212680.0
Ключи;https://www.cian.ru/sale/flat/285250229/;Москва;sale;flat;1;12;5;109.0;25500000;Нагатинский затон;Затонная;Коломенская;;real_estate_agent;233944.0
Руслан Гильманов;https://www.cian.ru/sale/flat/282473018/;Москва;sale;flat;12;16;5;112.4;25500000;Митино;Пятницкое шоссе;Волоколамская;;realtor;226868.0
Сергей Зуев;https://www.cian.ru/sale/flat/281319013/;Москва;sale;flat;2;16;5;118.0;25500000;Южное Бутово;Скобелевская;Улица Скобелевская;;realtor;216101.0
Наталья Мишина;https://www.cian.ru/sale/flat/283235841/;Москва;sale;flat;12;17;5;110.0;26000000;Метрогородок;Открытое шоссе;Бульвар Рокоссовского;;realtor;236363.0
ID 26620;https://www.cian.ru/sale/flat/282017275/;Москва;sale;flat;1;12;5;100.0;26300000;Строгино;Маршала Катукова;Строгино;;real_estate_agent;263000.0
Ольга Морозова;https://www.cian.ru/sale/flat/279741085/;Москва;sale;flat;15;17;5;110.0;26500000;Коньково;Академика Капицы;Коньково;;realtor;240909.0
Замоскворечье Жилая Недвижимость;https://www.cian.ru/sale/flat/285356155/;Москва;sale;flat;5;5;5;167.0;27000000;Дмитровский;Дмитровское шоссе;Марк;;real_estate_agent;161676.0
Capital Mars;https://www.cian.ru/sale/flat/281954829/;Москва;sale;flat;5;5;5;92.0;27000000;Дмитровский;Дмитровское шоссе;Марк;;real_estate_agent;293478.0
ИНКОМ-Недвижимость;https://www.cian.ru/sale/flat/284745620/;Москва;sale;flat;15;17;5;112.5;28200000;Южное Медведково;Ясный проезд;Бибирево;;real_estate_agent;250666.0
ESTMAN;https://www.cian.ru/sale/flat/284618192/;Москва;sale;flat;15;17;5;160.0;29000000;;;Коммунарка;;real_estate_agent;181250.0
Сергей Миронов;https://www.cian.ru/sale/flat/278567445/;Москва;sale;flat;16;16;5;130.5;29500000;Митино;Барышиха;Митино;;realtor;226053.0
Panorama Realty;https://www.cian.ru/sale/flat/283471005/;Москва;sale;flat;2;7;5;113.1;30000000;Покровское-Стрешнево;Большая Набережная;Тушинская;;real_estate_agent;265251.0
Михаил Рыкман;https://www.cian.ru/sale/flat/284428553/;Москва;sale;flat;5;16;5;108.3;30000000;Митино;Пятницкое шоссе;Пятницкое шоссе;;realtor;277008.0
EstateLiga;https://www.cian.ru/sale/flat/282389753/;Москва;sale;flat;5;5;5;125.5;31000000;Северное Бутово;Академика Глушко;Бульвар Дмитрия Донского;;real_estate_agent;247011.0
Виктория Гаврилова;https://www.cian.ru/sale/flat/284574284/;Москва;sale;flat;6;7;5;113.0;32000000;Южнопортовый;Новоостаповская;Дубровка;;realtor;283185.0
ИНКОМ-Недвижимость;https://www.cian.ru/sale/flat/284365984/;Москва;sale;flat;1;17;5;109.7;32000000;Обручевский;Академика Челомея;Воронцовская;;real_estate_agent;291704.0
Анастасия Зеленская;https://www.cian.ru/sale/flat/277193275/;Москва;sale;flat;9;17;5;120.0;32000000;Лосиноостровский;Тайнинская;Медведково;;realtor;266666.0
Метриум Премиум - отдел вторичной недвижимости;https://www.cian.ru/sale/flat/285246329/;Москва;sale;flat;14;17;5;110.0;32500000;Ховрино;Клинская;Ховрино;;real_estate_agent;295454.0
МИЭЛЬ;https://www.cian.ru/sale/flat/283767505/;Москва;sale;flat;5;9;5;110.0;32990000;Матушкино;Зеленоград;Ховрино;;real_estate_agent;299909.0
Capital Mars;https://www.cian.ru/sale/flat/281955238/;Москва;sale;flat;1;17;5;114.0;33500000;Нагатинский затон;Коломенская;Нагатинский Затон;;real_estate_agent;293859.0
Apple Real Estate;https://www.cian.ru/sale/flat/275328792/;Москва;sale;flat;2;6;5;101.0;34340000;Пресненский;Красина;Маяковская;;real_estate_agent;340000.0
