author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/280379092/;Москва;sale;flat;13;14;1;37.7;198673;7490000;;;Силикатная;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/284412497/;Москва;sale;flat;4;4;1;26.4;287500;7590000;Басманный;Центросоюзный переулок;Бауманская;
ID 119392;unknown;https://www.cian.ru/sale/flat/284196272/;Москва;sale;flat;3;3;1;37.4;205882;7700000;;;;
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/280298754/;Москва;sale;flat;1;2;1;19.0;410526;7800000;Соколиная гора;Вольная;Семёновская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/281429368/;Москва;sale;flat;2;22;1;32.4;242901;7870000;Некрасовка;Маресьева;Некрасовка;Квартал Некрасовка
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/284213723/;Москва;sale;flat;11;12;1;39.2;203826;7990000;Зябликово;Ореховый бульвар;Красногвардейская;
Суламит-НГС;real_estate_agent;https://www.cian.ru/sale/flat/281647119/;Москва;sale;flat;5;9;1;32.5;258461;8400000;Выхино-Жулебино;Ферганский проезд;Юго-Восточная;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/284763966/;Москва;sale;flat;1;14;1;35.2;241477;8500000;Головинский;Кронштадтский бульвар;Коптево;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/284707690/;Москва;sale;flat;1;9;1;32.8;259146;8500000;Орехово-Борисово Северное;Борисовский проезд;Шипиловская;
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/284354564/;Москва;sale;flat;4;5;1;32.9;261398;8600000;Восточное Измайлово;13-я Парковая;Щелковская;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/283397653/;Москва;sale;flat;3;14;1;38.9;223650;8700000;Новокосино;Салтыковская;Новокосино;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/284659854/;Москва;sale;flat;6;14;1;24.9;357429;8900000;Сокол;Балтийская;Сокол;
One Life;real_estate_agent;https://www.cian.ru/sale/flat/284038845/;Москва;sale;flat;13;17;1;41.0;217073;8900000;Бирюлево Западное;Харьковский проезд;Покровское;
