author,floor,floors_count,rooms_count,total_meters,price,district,street,underground,residential_complex,line,area,eco_rating,insufficient_infrastructure,convenient_for_life,very_convenient_for_life,few_entertainment,cultural,entertainment,cultural_entertainment,top_residential_infrastructure,square,population,housing_fund_area,line_count,author_count,author_more,floor_position,house_category,population_density
ПИК,4,20,2,38.3,21353016,Филевский парк,Большая Филевская,Фили,Западный порт,Филёвская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,896,1263,1,0,5,1.0
Absolute Premium,12,17,3,122.2,95802000,Хамовники,Лужнецкая набережная,Воробьёвы горы,Luzhniki Collection,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,26,1,0,5,10835.12
GRAVION,7,9,2,78.9,85640936,Якиманка,Ленинский проспект,Октябрьская,CULT (Апартаменты премиум-класса),Кольцевая линия,ЦАО,4,5,67,28,0,0,11,89,33.0,4.8,27672,788.7,597,42,1,0,3,5765.0
ЕГСН Продажа,14,17,1,42.4,7150000,Южное Бутово,Маршала Савицкого,Аннино,не указано,Серпуховско-Тимирязевская линия,ЮЗАО,7,21,42,37,76,0,24,0,78.0,25.54,210676,4195.0,807,175,1,0,5,8248.86
САДОВЫЕ КВАРТАЛЫ. Офис продаж,5,8,4,173.9,155000000,Хамовники,Усачева,Спортивная,Садовые кварталы,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,16,1,0,3,10835.12
Century 21 Street Realty,22,23,5,225.0,94000000,Хорошевский,проезд Березовой Рощи,ЦСКА,Гранд-парк,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,104,1,0,5,1.0
КРОСТ,13,19,2,62.4,23899200,Щукино,Расплетина,Октябрьское поле,Театральный квартал,Таганско-Краснопресненская линия,СЗАО,7,10,27,63,41,2,51,6,18.0,7.69,111203,2062.0,991,47,1,0,5,14460.73
ZIP Realty,1,9,-1,19.6,6671841,Даниловский,4-й Рощинский проезд,Тульская,не указано,Серпуховско-Тимирязевская линия,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,807,50,1,1,3,7485.4
Bespoke Estate,11,13,5,232.5,65000000,Кунцево,Молодогвардейская,Кунцевская,не указано,Арбатско-Покровская линия,ЗАО,5,17,49,34,56,6,35,3,65.0,16.56,152364,2587.4,1065,64,1,0,4,9200.72
Основа,3,31,3,58.89,21194511,Марфино,Ботаническая,Владыкино,VERY,Московское центральное кольцо,СВАО,4,33,67,0,83,6,11,0,103.0,2.97,35387,711.1,1315,169,1,0,5,11914.81
ID 16077652,1,4,2,53.81,8000000,не указано,не указано,Филатов Луг,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,1,0,1,2,1.0
Etagi Prime,30,82,-1,32.6,32500000,Пресненский,1-й Красногвардейский проезд,Деловой центр,не указано,Большая кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1525,12,1,0,6,10945.47
ЕГСН Продажа,5,6,2,53.1,11800000,Южное Бутово,Южнобутовская,Бунинская аллея,не указано,Бутовская линия Лёгкого метро,ЮЗАО,7,21,42,37,76,0,24,0,78.0,25.54,210676,4195.0,303,175,1,0,3,8248.86
Sminex-Интеко,2,13,4,95.22,40470000,Раменки,не указано,Минская,Вест Гарден ЖК,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,184,1,0,4,7638.08
ID 846799,6,9,1,40.8,12000000,Басманный,Большая Почтовая,Бауманская,не указано,Арбатско-Покровская линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,1065,1,0,0,3,13225.09
PEOPLE,28,42,3,85.8,41200000,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,Сердце Столицы,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,193,1,0,5,1.0
не указано,2,24,1,24.84,6298240,Митино,не указано,Трикотажная,Аквилон Митино ЖК,None,СЗАО,2,17,44,39,54,0,46,0,64.0,12.67,194965,3658.1,-1,202,1,0,5,15387.92
Аврора Проперти,22,30,4,169.7,180000000,Очаково-Матвеевское,Нежинская,Славянский бульвар,Кутузовская Ривьера,Арбатско-Покровская линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1065,62,1,0,5,7453.93
А101,2,9,1,24.7,7874950,не указано,не указано,Улица Скобелевская,не указано,Бутовская линия Лёгкого метро,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,303,305,1,0,3,1.0
ID 457555,10,13,2,54.0,9950000,не указано,не указано,Силикатная,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,2,0,0,4,1.0
Виталия Якимова,11,14,1,33.0,7500000,не указано,не указано,Ольховая,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,1,0,0,4,1.0
ПИК,16,21,1,35.92,12787520,Очаково-Матвеевское,Очаковское шоссе,Аминьевская,Vangarden,Большая кольцевая линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1525,1263,1,0,5,7453.93
Whitewill Москва-Сити,52,77,2,110.0,120000000,Пресненский,1-й Красногвардейский проезд,Деловой центр,NEVA TOWERS,Большая кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1525,37,1,0,6,10945.47
REALTY PRО,2,4,-1,15.7,3990000,Нижегородский,шоссе Фрезер,Нижегородская,не указано,Некрасовская линия,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,214,17,1,0,2,5983.36
NF Group - ex-Knight Frank Russia,10,14,4,244.9,305791600,Мещанский,Протопоповский переулок,Проспект Мира,Хортус Гармония,Кольцевая линия,ЦАО,6,3,69,28,0,0,10,90,16.0,4.6,61213,1417.4,597,318,1,0,4,13307.17
ПЕРСПЕКТИВА24-ЮГО-ЗАПАД,6,9,5,134.0,35500000,Нагатино-Садовники,Каширское шоссе,Нагатинская,не указано,Серпуховско-Тимирязевская линия,ЮАО,7,39,53,8,76,0,24,0,108.0,8.17,83496,960.4,807,79,1,0,3,10219.83
Князев и Партнёры,5,13,2,92.6,67500000,Арбат,Новый Арбат,Смоленская,Звёзды Арбата,Филёвская линия,ЦАО,6,0,0,100,0,0,0,100,1.0,2.11,36125,731.0,896,18,1,0,4,17120.85
ID 51390838,2,6,4,112.0,79000000,Пресненский,Большой Козихинский переулок,Пушкинская,не указано,Таганско-Краснопресненская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,991,2,0,0,3,10945.47
ПИК,2,28,1,45.1,11419320,Щукино,Волоколамское шоссе,Стрешнево,Волоколамское 24,Московское центральное кольцо,СЗАО,7,10,27,63,41,2,51,6,18.0,7.69,111203,2062.0,1315,1263,1,0,5,14460.73
Forma,3,20,3,72.5,25749245,Аэропорт,Часовая,Красный Балтиец,SOUL,None,САО,6,3,32,65,16,0,49,35,5.0,4.58,79486,1939.7,-1,146,1,0,5,17355.02
Этажи Москва,2,5,4,83.6,32000000,Беговой,5-я Ямского Поля,Белорусская,не указано,Замоскворецкая линия,САО,5,9,36,55,0,0,23,77,22.0,5.56,42781,791.1,1297,257,1,0,2,7694.42
CENTURY 21,5,5,5,120.0,59900000,Басманный,Маросейка,Китай-город,не указано,Калужско-Рижская линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,977,53,1,2,2,13225.09
ИМПЕРИАЛ,1,5,-1,12.5,4712500,Хорошевский,Хорошевское шоссе,Беговая,не указано,Таганско-Краснопресненская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,991,85,1,1,2,1.0
Whitewill,2,6,2,75.0,82500000,Замоскворечье,Большой Ордынский переулок,Третьяковская,Собрание клубных домов ORDYNKA,Калининская линия,ЦАО,6,10,17,73,0,0,0,100,12.0,4.32,59105,1072.3,156,332,1,0,3,13681.71
ID 17683076,8,30,1,44.5,15900000,Останкинский,Годовикова,Алексеевская,iLove,Калужско-Рижская линия,СВАО,3,12,36,52,3,3,18,76,38.0,12.46,63514,1131.4,977,1,0,0,5,5097.43
ID 458495,7,9,5,118.2,28000999,Соколиная гора,проспект Буденного,Шоссе Энтузиастов,не указано,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,2,0,0,3,1.0
ПИК,8,14,1,33.1,8078915,не указано,не указано,Филатов Луг,Саларьево Парк ЖК,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,1263,1,0,4,1.0
Кирилл Борисков,38,51,4,108.0,48000000,Раменки,Мичуринский проспект,Раменки,не указано,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,6,1,0,6,7638.08
Города,7,14,2,50.0,22500000,Даниловский,Архитектора Щусева,ЗИЛ,ЗИЛАРТ,Московское центральное кольцо,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,1315,12,1,0,4,7485.4
Аеон-Девелопмент,2,45,3,88.2,45435567,Дорогомилово,Кутузовский проезд,Фили,River Park Towers Кутузовский,Филёвская линия,ЗАО,6,12,15,73,0,0,27,73,19.0,7.95,76093,1906.2,896,43,1,0,5,9571.45
Навигатор,10,16,1,38.0,9500000,Северное Медведково,Широкая,Медведково,не указано,Калужско-Рижская линия,СВАО,8,4,28,68,27,0,73,0,8.0,5.66,127819,1764.0,977,38,1,0,4,22582.86
МСК Недвижимость,5,7,1,32.44,9500000,Марьина роща,проезд 3-й Марьиной рощи,Марьина роща,не указано,Люблинско-Дмитровская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,569,133,1,0,3,1.0
ПИК,14,28,1,20.0,7990000,Южнопортовый,не указано,Волгоградский проспект,Первый Дубровский ЖК,Таганско-Краснопресненская линия,ЮВАО,8,35,41,24,15,3,56,26,100.0,4.53,74729,1449.0,991,1263,1,0,5,16496.47
MERSI,3,6,3,162.5,89000000,Покровское-Стрешнево,Береговая,Войковская,не указано,Замоскворецкая линия,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,1297,22,1,0,3,4604.81
Этажи Москва,8,24,1,30.0,11700000,Марьино,Донецкая,Марьино,Домашний,Люблинско-Дмитровская линия,ЮВАО,7,17,30,53,24,0,76,0,52.0,11.91,253943,4523.0,569,257,1,0,5,21321.83
Verges of estate,20,51,3,120.0,39850000,Обручевский,Ленинский проспект,Новаторская,Well House на Ленинском,Большая кольцевая линия,ЮЗАО,2,9,78,13,32,5,40,23,54.0,6.11,86793,1742.0,1525,71,1,0,6,14205.07
Kalinka Group,6,8,4,105.0,65000000,Якиманка,Ленинский проспект,Октябрьская,не указано,Кольцевая линия,ЦАО,4,5,67,28,0,0,11,89,33.0,4.8,27672,788.7,597,207,1,0,3,5765.0
PnP Development,3,31,-1,16.0,4200000,Южное Бутово,Поляны,Улица Скобелевская,Эталон-Сити,Бутовская линия Лёгкого метро,ЮЗАО,7,21,42,37,76,0,24,0,78.0,25.54,210676,4195.0,303,6,1,0,5,8248.86
МИЦ Трейд-ИН,4,22,-1,24.8,7370000,Хорошевский,1-я Магистральная,Хорошёвская,Сити-комплекс Мята,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,7,1,0,5,1.0
ПИК,14,15,1,35.7,11138400,Южное Медведково,не указано,Медведково,Полярная 25 ЖК,Калужско-Рижская линия,СВАО,5,35,65,0,88,0,12,0,104.0,3.88,85698,1355.3,977,1263,1,0,4,22087.11
Этажи Москва,13,17,2,53.0,13500000,Западное Дегунино,Базовская,Ховрино,не указано,Замоскворецкая линия,САО,7,4,96,0,64,0,36,0,40.0,7.53,84163,1385.1,1297,257,1,0,5,11177.02
ЗЕЛЕНОГРАДСКИЙ ЦЕНТР НЕДВИЖИМОСТИ И ИПОТЕКИ,8,9,1,29.6,10500000,Сокол,Зорге,не указано,не указано,None,САО,8,4,81,15,15,30,22,33,35.0,3.72,59507,1163.5,-1,1,0,0,3,15996.51
А101,4,16,1,23.7,7846165,не указано,не указано,Ольховая,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,305,1,0,4,1.0
BERI,8,9,1,31.6,10990000,Нагатинский затон,Кленовый бульвар,Коломенская,не указано,Замоскворецкая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1297,31,1,0,3,1.0
Apple Real Estate,7,8,4,200.0,89900000,Тверской,Сущевская,Менделеевская,не указано,Серпуховско-Тимирязевская линия,ЦАО,5,0,15,85,0,0,0,100,2.0,7.27,77864,1253.3,807,135,1,0,3,10710.32
Vesco Realty,5,11,5,202.0,330000000,Хамовники,Погодинская,Фрунзенская,GRAND DELUXE на Плющихе,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,73,1,0,4,10835.12
Монолит Столица,19,19,2,64.5,9990000,не указано,не указано,Рассказовка,не указано,Солнцевская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1062,37,1,2,5,1.0
ID 90269300,24,26,3,142.5,83790000,Арбат,Новый Арбат,Арбатская,The Book,Арбатско-Покровская линия,ЦАО,6,0,0,100,0,0,0,100,1.0,2.11,36125,731.0,1065,4,1,0,5,17120.85
Bespoke Estate,23,31,3,65.5,32390000,Филевский парк,Багратионовский проезд,Фили,Filicity,Филёвская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,896,64,1,0,5,1.0
ПИК,11,19,1,20.0,5321400,Митино,Северо-Западный ао,Пятницкое шоссе,Митинский Лес ЖК,Арбатско-Покровская линия,СЗАО,2,17,44,39,54,0,46,0,64.0,12.67,194965,3658.1,1065,1263,1,0,5,15387.92
МИЭЛЬ Офис Пречистенка,23,51,2,81.54,26990000,Пресненский,Шелепихинский тупик,Шелепиха,Headliner,Большая кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1525,6,1,0,6,10945.47
Elcomrealty,17,18,5,151.0,45000000,Филевский парк,Филевский бульвар,Фили,Ривер-Хаус,Филёвская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,896,1,0,0,5,1.0
Кварта-ПИК БРОКЕР,10,31,2,47.5,12982000,Ломоносовский,Нахимовский проспект,Профсоюзная,Versis,Калужско-Рижская линия,ЮЗАО,5,3,70,27,13,0,87,0,17.0,3.34,88320,2881.5,977,15,1,0,5,26443.11
ЕГСН Продажа,5,8,1,42.9,16300000,Басманный,Земляной Вал,Курская,не указано,Арбатско-Покровская линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,1065,175,1,0,3,13225.09
Apsis Globe,21,21,2,65.4,14800000,Тропарево-Никулино,Востряковское шоссе,Озёрная,Комплекс апартаментов CITIMIX,Солнцевская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1062,5,1,2,5,1.0
Велесстрой,3,24,4,102.2,38160969,Фили-Давыдково,Кастанаевская,Кунцевская,Shome,Арбатско-Покровская линия,ЗАО,6,13,81,6,83,0,17,0,69.0,6.96,115128,2388.6,1065,75,1,0,5,16541.38
Homeapp,4,5,1,42.0,11199000,Тимирязевский,Дмитровское шоссе,Дмитровская,не указано,Серпуховско-Тимирязевская линия,САО,4,28,41,31,54,8,10,28,89.0,10.43,83712,1836.2,807,553,1,0,2,8026.08
На Петровке,3,4,5,211.5,100000000,Крылатское,Островной проезд,Молодежная,Остров Фантазий,None,ЗАО,2,7,93,0,40,21,39,0,50.0,12.04,82817,1850.5,-1,51,1,0,2,6878.49
ОГРК,7,9,2,47.5,10450000,Орехово-Борисово Южное,Ореховый бульвар,Орехово,не указано,Замоскворецкая линия,ЮАО,6,22,51,27,69,0,31,0,81.0,6.94,147789,2149.7,1297,21,1,0,3,21295.24
Sminex-Интеко,4,14,5,125.9,66230000,Раменки,не указано,Минская,Вест Гарден ЖК,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,184,1,0,4,7638.08
BELFORT,5,6,4,158.0,210000000,Замоскворечье,Садовническая набережная,Новокузнецкая,BALCHUG VIEWPOINT,Замоскворецкая линия,ЦАО,6,10,17,73,0,0,0,100,12.0,4.32,59105,1072.3,1297,31,1,0,3,13681.71
ПИК,23,26,1,19.97,6498238,Нижегородский,к3.1,Нижегородская,Перовское 2 ЖК,Большая кольцевая линия,ЮВАО,7,26,53,21,32,0,68,0,88.0,7.57,45294,722.3,1525,1263,1,0,5,5983.36
Capital Mars,7,7,5,245.6,649807150,Хамовники,Большой Левшинский переулок,Смоленская,Дворянское гнездо,Арбатско-Покровская линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1065,27,1,2,3,10835.12
Vesco Realty,24,24,5,206.0,139000000,Можайский,Можайское шоссе,Кунцевская,не указано,Арбатско-Покровская линия,ЗАО,4,25,75,0,95,0,5,0,91.0,10.73,138610,2655.9,1065,73,1,2,5,12917.99
White and Broughton,17,41,2,47.6,32100000,Хорошевский,Ленинградский проспект,Аэропорт,Прайм Парк,Замоскворецкая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1297,12,1,0,5,1.0
Этажи Москва,7,9,2,44.0,9790000,Очаково-Матвеевское,Веерная,Давыдково,не указано,Большая кольцевая линия,ЗАО,7,40,60,0,100,0,0,0,111.0,17.54,130742,2255.1,1525,257,1,0,3,7453.93
ПИК,33,33,3,74.1,19851390,Бабушкинский,Кольская,Свиблово,Кольская 8,Калужско-Рижская линия,СВАО,7,17,20,63,25,3,49,23,45.0,5.07,88537,1586.3,977,1263,1,2,5,17462.92
ALFA real estate,4,13,5,198.8,181640210,Тверской,Фадеева,Новослободская,Итальянский Квартал,Кольцевая линия,ЦАО,5,0,15,85,0,0,0,100,2.0,7.27,77864,1253.3,597,32,1,0,4,10710.32
BELFORT,2,6,3,86.5,50300000,Замоскворечье,Садовническая набережная,Новокузнецкая,BALCHUG VIEWPOINT,Замоскворецкая линия,ЦАО,6,10,17,73,0,0,0,100,12.0,4.32,59105,1072.3,1297,31,1,0,3,13681.71
ID 378254,7,14,2,60.0,11980000,не указано,не указано,Ольховая,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,1,0,0,4,1.0
Estes,2,23,3,71.0,30000000,Люблино,Совхозная,не указано,L'Club,None,ЮВАО,6,29,67,4,60,0,36,4,96.0,17.41,172054,2739.7,-1,36,1,0,5,9882.48
TimeProperty,11,57,4,108.0,35000000,Хорошево-Мневники,Народного Ополчения,Народное Ополчение,Wellton Towers,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,49,1,0,6,1.0
ПИК,17,33,2,32.6,8315347,Люблино,к13.3,Перерва,Люблинский парк ЖК,None,ЮВАО,6,29,67,4,60,0,36,4,96.0,17.41,172054,2739.7,-1,1263,1,0,5,9882.48
Ирина Муратова,9,9,2,47.0,9000000,Выхино-Жулебино,Чугунные Ворота,Юго-Восточная,не указано,Некрасовская линия,ЮВАО,6,16,66,18,76,0,24,0,73.0,14.97,225154,3704.7,214,1,0,2,3,15040.35
SHOW ME,12,12,-1,37.0,17500000,Даниловский,Холодильный переулок,Тульская,Play,Серпуховско-Тимирязевская линия,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,807,33,1,2,4,7485.4
UINVEST,6,16,1,39.36,9990000,не указано,не указано,Тропарево,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,4,1,0,4,1.0
Whitewill,10,41,4,91.0,67000000,Хорошевский,Ленинградский проспект,Аэропорт,Прайм Парк,Замоскворецкая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1297,332,1,0,5,1.0
ID 58116144,6,9,2,43.5,20750000,Якиманка,Большая Якиманка,Октябрьская,не указано,Калужско-Рижская линия,ЦАО,4,5,67,28,0,0,11,89,33.0,4.8,27672,788.7,977,2,0,0,3,5765.0
Хлебозавод 9,3,9,1,32.9,11186000,Преображенское,Электрозаводская,Преображенская площадь,Апартаменты Берег Яузы,Сокольническая линия,ВАО,7,21,38,41,33,13,16,38,77.0,5.61,91503,1453.2,1452,16,1,0,3,16310.69
Этажи Москва,6,10,-1,17.5,7300000,Проспект Вернадского,проспект Вернадского,Проспект Вернадского,не указано,Сокольническая линия,ЗАО,4,20,21,59,26,3,71,0,61.0,4.65,63659,1831.0,1452,257,1,0,3,13690.11
ID 417836,5,8,3,120.0,48790000,Донской,Ленинский проспект,Ленинский проспект,не указано,Калужско-Рижская линия,ЮАО,5,44,13,43,9,0,52,39,105.0,5.73,51894,1094.0,977,2,0,0,3,9056.54
Аврора Проперти,9,9,3,176.26,630000000,Хамовники,Малая Пироговская,Спортивная,Пироговская 14,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,62,1,2,3,10835.12
ID 80301916,1,4,2,36.2,6192000,Покровское-Стрешнево,Волоколамское шоссе,Трикотажная,не указано,None,СЗАО,5,29,54,17,71,8,21,0,93.0,12.9,59402,1006.7,-1,24,1,1,2,4604.81
Century 21 Premium Property,9,13,4,123.0,60000000,Лефортово,шоссе Энтузиастов,Москва-Товарная,Символ,None,ЮВАО,9,8,55,37,13,8,53,26,36.0,9.06,95343,1384.2,-1,108,1,0,4,10523.51
КВАРТА-18,4,5,2,47.6,31364422,Тверской,Тверская,Пушкинская,не указано,Таганско-Краснопресненская линия,ЦАО,5,0,15,85,0,0,0,100,2.0,7.27,77864,1253.3,991,4,1,0,2,10710.32
Константин Кудрявцев,1,17,-1,15.3,4280000,Можайский,Дорогобужская,Кунцевская,не указано,Арбатско-Покровская линия,ЗАО,4,25,75,0,95,0,5,0,91.0,10.73,138610,2655.9,1065,7,1,1,5,12917.99
ПИК,23,33,1,27.2,11236320,Кунцево,Академика Павлова,Крылатское,Академика Павлова,Арбатско-Покровская линия,ЗАО,5,17,49,34,56,6,35,3,65.0,16.56,152364,2587.4,1065,1263,1,0,5,9200.72
не указано,3,3,-1,204.1,82619680,Даниловский,Павелецкая набережная,Угрешская,Резиденции Композиторов,Московское центральное кольцо,ЮАО,9,60,24,16,11,4,18,67,115.0,12.6,94316,2847.4,1315,202,1,2,2,7485.4
Monumental Group,2,5,5,172.0,137600000,Хамовники,Нащокинский переулок,Кропоткинская,не указано,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,88,1,0,2,10835.12
БЕСТ-Новострой Обмен квартир,14,20,3,79.8,32800000,Хорошево-Мневники,Шеногина,Хорошёво,Sydney City,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,8,1,0,5,1.0
ID 6521,2,5,5,190.0,80000000,Басманный,Мясницкая,Тургеневская,не указано,Калужско-Рижская линия,ЦАО,6,6,22,72,1,0,8,91,9.0,8.37,110694,1991.8,977,1,0,0,2,13225.09
DH-Realty,7,23,1,33.9,19300000,Хорошево-Мневники,проспект Маршала Жукова,Хорошёво,Wellton park,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,2,0,0,5,1.0
ЛэндЛ,11,25,1,21.4,7500000,Орехово-Борисово Южное,Ясеневая,Зябликово,Ясеневая 14,Люблинско-Дмитровская линия,ЮАО,6,22,51,27,69,0,31,0,81.0,6.94,147789,2149.7,569,8,1,0,5,21295.24
ПИК,2,33,1,36.4,14410760,Кунцево,Академика Павлова,Крылатское,Академика Павлова,Арбатско-Покровская линия,ЗАО,5,17,49,34,56,6,35,3,65.0,16.56,152364,2587.4,1065,1263,1,0,5,9200.72
ПИК,2,33,2,46.1,12082810,Гольяново,не указано,Черкизовская,Амурский парк ЖК,Сокольническая линия,ВАО,5,20,80,0,83,0,17,0,83.0,14.99,163009,3024.1,1452,1263,1,0,5,10874.52
Абсолют Недвижимость,9,23,2,55.6,14349652,Некрасовка,не указано,Некрасовка,Квартал Некрасовка ЖК,Некрасовская линия,ЮВАО,7,67,33,0,100,0,0,0,116.0,5.58,71943,385.5,214,95,1,0,5,12893.01
Forma,-1,-1,-1,202.0,37749755,Пресненский,не указано,Белорусская,Репаблик ЖК,Кольцевая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,597,146,1,2,1,10945.47
MR Group,6,57,3,83.33,41336553,Филевский парк,не указано,Фили,Фили Сити ЖК,Филёвская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,896,278,1,0,6,1.0
Century 21 Level,13,17,3,115.0,59490000,Тверской,Тихвинская,Савёловская,Тихвинская усадьба,Серпуховско-Тимирязевская линия,ЦАО,5,0,15,85,0,0,0,100,2.0,7.27,77864,1253.3,807,29,1,0,5,10710.32
GRAND ESTATE - Премиальная недвижимость,5,5,5,120.0,91737480,Пресненский,Малая Бронная,Тверская,не указано,Замоскворецкая линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,1297,57,1,2,2,10945.47
Этажи Москва,12,12,1,30.8,8000000,не указано,не указано,Прокшино,не указано,Сокольническая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1452,257,1,2,4,1.0
Moscow Estate,3,9,4,178.0,310999999,Хамовники,Ефремова,Спортивная,Knightsbridge Private Park,Сокольническая линия,ЦАО,4,6,44,50,0,6,2,92,13.0,10.08,109218,2559.6,1452,18,1,0,3,10835.12
ПИК,4,17,3,62.97,14376051,Текстильщики,Юго-Восточный ао,Текстильщики,Волжский Парк ЖК,Таганско-Краснопресненская линия,ЮВАО,6,14,49,37,65,9,9,17,53.0,5.92,105267,1638.7,991,1263,1,0,5,17781.59
МСК Недвижимость,5,5,2,107.9,18882500,Черемушки,Херсонская,Зюзино,не указано,Большая кольцевая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1525,133,1,2,2,1.0
Велесстрой,11,24,2,55.1,25897000,Фили-Давыдково,Кастанаевская,Кунцевская,Shome,Арбатско-Покровская линия,ЗАО,6,13,81,6,83,0,17,0,69.0,6.96,115128,2388.6,1065,75,1,0,5,16541.38
ID 12912195,9,9,1,32.0,16000000,Марьина роща,Сущевский Вал,Марьина роща,Премиум-квартал JAZZ,Люблинско-Дмитровская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,569,1,0,2,3,1.0
Этажи Москва,12,17,1,41.3,12500000,Чертаново Северное,Варшавское шоссе,Чертановская,не указано,Серпуховско-Тимирязевская линия,ЮАО,6,21,18,61,26,0,74,0,63.0,5.4,114548,1899.5,807,257,1,0,5,21212.59
Метриум-Премиум Городская недвижимость,36,48,4,145.8,67000000,Раменки,Мосфильмовская,Ломоносовский проспект,Воробьевы Горы,Солнцевская линия,ЗАО,4,26,64,10,76,11,10,3,90.0,18.54,141610,3511.2,1062,99,1,0,5,7638.08
