author,floor,floors_count,rooms_count,total_meters,price,district,street,underground,residential_complex,line,area,eco_rating,insufficient_infrastructure,convenient_for_life,very_convenient_for_life,few_entertainment,cultural,entertainment,cultural_entertainment,top_residential_infrastructure,square,population,housing_fund_area,line_count,author_count,author_more,floor_position,house_category,population_density
ID 12963175,2,16,-1,19.5,5500000,Отрадное,Алтуфьевское шоссе,Владыкино,не указано,Московское центральное кольцо,СВАО,6,10,33,57,21,0,79,0,21.0,10.18,185488,3191.6,1315,2,0,0,4,18220.82
Apsis Globe,21,21,2,65.4,20319000,Тропарево-Никулино,Востряковское шоссе,Озёрная,Комплекс апартаментов CITIMIX,Солнцевская линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1062,5,1,2,5,1.0
ID 12227611,4,9,1,34.5,10750000,Отрадное,Юрловский проезд,Отрадное,не указано,Серпуховско-Тимирязевская линия,СВАО,6,10,33,57,21,0,79,0,21.0,10.18,185488,3191.6,807,1,0,0,3,18220.82
ID 117844,1,5,1,18.0,5300000,Нагатино-Садовники,Старокаширское шоссе,Каширская,не указано,Большая кольцевая линия,ЮАО,7,39,53,8,76,0,24,0,108.0,8.17,83496,960.4,1525,2,0,1,2,10219.83
TimeProperty,27,29,4,138.5,55400000,Якиманка,Мытная,Серпуховская,Sky House,Серпуховско-Тимирязевская линия,ЦАО,4,5,67,28,0,0,11,89,33.0,4.8,27672,788.7,807,49,1,0,5,5765.0
ЛИДЕР Риэлти - офис Динамо,24,41,4,158.9,129000000,Хорошевский,Ленинградский проспект,Аэропорт,Прайм Парк,Замоскворецкая линия,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1297,10,1,0,5,1.0
Донстрой,18,41,1,32.3,15973158,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,Сердце Столицы,Московское центральное кольцо,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,1315,103,1,0,5,1.0
Про Эстейт,1,3,2,63.4,7700000,не указано,не указано,не указано,не указано,None,None,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,1,0,1,2,1.0
Century 21 Street Realty,16,31,3,120.7,42700000,Кунцево,Ярцевская,Молодежная,O2XYGEN,None,ЗАО,5,17,49,34,56,6,35,3,65.0,16.56,152364,2587.4,-1,104,1,0,5,9200.72
ПИК,2,32,2,48.7,11877930,Северное Медведково,к1.1,Медведково,Полар ЖК,Калужско-Рижская линия,СВАО,8,4,28,68,27,0,73,0,8.0,5.66,127819,1764.0,977,1263,1,0,5,22582.86
не указано,19,24,1,25.64,6338556,Митино,не указано,Трикотажная,Аквилон Митино ЖК,None,СЗАО,2,17,44,39,54,0,46,0,64.0,12.67,194965,3658.1,-1,202,1,0,5,15387.92
Whitewill,4,20,3,81.6,62900000,Пресненский,Мантулинская,Выставочная,City Park,Филёвская линия,ЦАО,6,17,27,56,16,0,30,54,49.0,11.7,128062,1416.4,896,332,1,0,5,10945.47
CENTURY 21 Перспектива,10,19,3,75.0,14100000,Некрасовка,Рождественская,Некрасовка,не указано,Некрасовская линия,ЮВАО,7,67,33,0,100,0,0,0,116.0,5.58,71943,385.5,214,18,1,0,5,12893.01
ЦеНтр ПИК,7,7,3,86.0,28900000,Южнопортовый,1-я Дубровская,Дубровка,не указано,Люблинско-Дмитровская линия,ЮВАО,8,35,41,24,15,3,56,26,100.0,4.53,74729,1449.0,569,12,1,2,3,16496.47
